LAT,LON,STATE,Jan-92,Feb-93,Mar-94,Apr-95,May-96,Jun-97,Jul-98,Aug-99,Sep-00,Oct-01,Nov-02,Dec-03,Jan-04,Feb-05,Mar-06,Apr-07,May-08,Jun-09,Jul-10,Aug-11,Sep-12
33.8191,-80.9066,SC  ,0.344897078,0.353218442,0.376551724,0.395610138,0.410727317,0.418138708,0.425046606,0.432943109,0.344211405,0.355288227,0.381324208,0.446042488,0.398053976,0.486752618,0.502662509,0.503441096,0.486300772,0.481250812,0.525071123,0.568850349,0.59800526
44.2853,-99.4632,SD ,0.380056444,0.384344767,0.479105928,0.403374233,0.405873494,0.421340629,0.421122112,0.441919192,0.432279539,0.456800205,0.460249906,0.464931171,0.521534152,0.543796657,0.537118728,0.544749342,0.543075637,0.511217118,0.53573555,0.587038225,0.613158247
35.7449,-86.7489,TN  ,0.280200051,0.307017544,0.299190751,0.297637962,0.286098387,0.294547225,0.308701397,0.329192547,0.361869068,0.36279229,0.33569013,0.358287979,0.38113673,0.413598163,0.346850954,0.358539331,0.336561486,0.330192785,0.332917542,0.35957141,0.394794875
31.106,-97.6475,TX  ,0.225957303,0.231794588,0.254925566,0.255989525,0.272622122,0.293170184,0.319118981,0.306589165,0.299941759,0.3298227,0.339916383,0.333312079,0.358536871,0.300611794,0.324144559,0.322495389,0.353136405,0.341877417,0.337159596,0.33787229,0.375484218
40.1135,-111.8535,UT  ,0.25006908,0.265275333,0.269132356,0.276628521,0.273459525,0.279209784,0.256,0.271443821,0.266780687,0.256548206,0.266128266,0.26361527,0.310971483,0.336190694,0.337697924,0.338888464,0.339436954,0.334765132,0.347368584,0.408475751,0.447951602
37.768,-78.2057,VA  ,0.64469697,0.670462633,0.698859826,0.712409718,0.711600778,0.715355805,0.720830788,0.804567247,0.802010479,0.762182809,0.761356945,0.759997765,0.753791634,0.767718763,0.778656565,0.794796307,0.801556237,0.810715595,0.840862192,0.828395982,0.83348605
44.0407,-72.7093,VT  ,0.333732726,0.390774728,0.423594555,0.439982509,0.439612849,0.442963753,0.421568627,0.409412745,0.3880798,0.338342726,0.322585831,0.325083099,0.426383691,0.464481625,0.4767253,0.475318034,0.455136982,0.476618033,0.499031731,0.53814873,0.554806592
47.3917,-121.5708,WA  ,0.197871008,0.212215738,0.216455696,0.233348355,0.269570596,0.262616979,0.25699192,0.2581645,0.275758228,0.208859734,0.199186435,0.210697954,0.230766334,0.242873882,0.256125826,0.241237343,0.246565314,0.221154386,0.231462318,0.283149862,0.344848677
44.2563,-89.6385,WI  ,0.367624811,0.405434394,0.416315049,0.426039317,0.442962963,0.437278107,0.441218741,0.443393677,0.45044586,0.382005338,0.392283785,0.404356843,0.421881225,0.473873096,0.4877577,0.517809051,0.506601335,0.451249161,0.512526141,0.524582732,0.538936571
38.468,-80.9696,WV  ,0.305082033,0.306902409,0.30921246,0.283786757,0.283462927,0.29130405,0.298760247,0.303395259,0.308784656,0.314766312,0.27474065,0.285773702,0.299306063,0.329738746,0.357138136,0.380714043,0.383505812,0.371392172,0.370154004,0.405008404,0.401187866
42.7475,-107.2085,WY  ,0.118403248,0.146053449,0.177804296,0.195235328,0.19523269,0.212526767,0.186578868,0.203545334,0.222418377,0.221575578,0.26956593,0.213160507,0.201790404,0.185864665,0.181081524,0.171804059,0.150684438,0.149254204,0.118671146,0.123568313,0.113975184
