"year"	"category"	"n"	"l"
"2010"	"New Mexico"	1883	7612
"2010"	"New York"	4505	9339
"2010"	"North Carolina"	2701	8108
"2010"	"North Dakota"	6722	7045
"2010"	"Ohio"	6285	4922
"2010"	"Oklahoma"	3736	7794
"2010"	"Oregon"	5078	5083
"2010"	"Pennsylvania"	9557	5283
"2010"	"Rhode Island"	10682	5152
"2010"	"South Carolina"	6171	5219
"2010"	"South Dakota"	6752	5369
"2010"	"Tennessee"	4116	7475
"2010"	"Texas"	4197	8226
"2010"	"Utah"	4231	6127
"2010"	"Vermont"	13603	3317
"2010"	"Virginia"	6312	5465
"2010"	"Washington"	3444	6588
"2010"	"West Virginia"	5148	5183
"2010"	"Wisconsin"	4565	6706
"2010"	"Wyoming"	1840	12579
"2011"	"Alabama"	7605	5644
"2011"	"Alaska"	5822	15678
"2011"	"Arizona"	5202	6238
"2011"	"Arkansas"	3479	7055
"2011"	"California"	1576	8064
"2011"	"Colorado"	7417	3805
"2011"	"Connecticut"	8329	10591
"2011"	"Delaware"	14273	6067
"2011"	"Florida"	2811	5899
"2011"	"Georgia"	2425	7129
"2011"	"Hawaii"	5184	11287
"2011"	"Idaho"	3027	6638
"2011"	"Illinois"	4644	8081
"2011"	"Indiana"	7028	5119
"2011"	"Iowa"	7469	5160
"2011"	"Kansas"	5206	5844
"2011"	"Kentucky"	5321	6899
"2011"	"Louisiana"	2677	7295
"2011"	"Maine"	8438	6697
"2011"	"Maryland"	7294	7142
"2011"	"Massachusetts"	6680	7123
"2011"	"Michigan"	9891	5309
"2011"	"Minnesota"	7727	5681
"2011"	"Mississippi"	2976	5745
"2011"	"Missouri"	5002	5803
"2011"	"Montana"	5468	4923
"2011"	"Nebraska"	4964	7759
"2011"	"Nevada"	3286	7481
"2011"	"New Hampshire"	9663	3279
"2011"	"New Jersey"	8271	7547
"2011"	"New Mexico"	2205	7827
"2011"	"New York"	4528	9402
"2011"	"North Carolina"	2843	7930
"2011"	"North Dakota"	6740	6860
"2011"	"Ohio"	6293	4733
"2011"	"Oklahoma"	3831	6960
"2011"	"Oregon"	6062	4669
"2011"	"Pennsylvania"	9993	5019
"2011"	"Rhode Island"	11252	5277
"2011"	"South Carolina"	6815	4664
"2011"	"South Dakota"	7003	5091
"2011"	"Tennessee"	4330	6779
"2011"	"Texas"	4269	7101
"2011"	"Utah"	4576	5640
"2011"	"Vermont"	13451	3196
"2011"	"Virginia"	6794	5521
"2011"	"Washington"	4019	5893
"2011"	"West Virginia"	5262	5107
"2011"	"Wisconsin"	4632	6853
"2011"	"Wyoming"	1914	14734
"2012"	"Alabama"	8416	5385
"2012"	"Alaska"	5943	15573
"2012"	"Arizona"	5725	5119
"2012"	"Arkansas"	3761	6915
"2012"	"California"	2362	7077
"2012"	"Colorado"	7707	3173
"2012"	"Connecticut"	8478	9357
"2012"	"Delaware"	15955	6033
"2012"	"Florida"	2890	4990
"2012"	"Georgia"	3542	6514
"2012"	"Hawaii"	5530	11074
"2012"	"Idaho"	3304	5640
"2012"	"Illinois"	4663	8916
"2012"	"Indiana"	7414	5142
"2012"	"Iowa"	7794	4965
"2012"	"Kansas"	5401	5695
"2012"	"Kentucky"	5542	6506
"2012"	"Louisiana"	3517	5442
"2012"	"Maine"	8579	6488
"2012"	"Maryland"	7449	6900
"2012"	"Massachusetts"	5777	6838
"2012"	"Michigan"	10726	4637
"2012"	"Minnesota"	8132	5145
"2012"	"Mississippi"	3263	5151
"2012"	"Missouri"	5335	5443
"2012"	"Montana"	5594	4637
"2012"	"Nebraska"	5242	7664
"2012"	"Nevada"	3719	6614
"2012"	"New Hampshire"	10349	1904
"2012"	"New Jersey"	8475	7010
"2012"	"New Mexico"	3130	7607
"2012"	"New York"	4744	8601
"2012"	"North Carolina"	3476	7750
"2012"	"North Dakota"	7151	7485
"2012"	"Ohio"	6788	4115
"2012"	"Oklahoma"	4193	6372
"2012"	"Oregon"	6421	4073
"2012"	"Pennsylvania"	9516	4079
"2012"	"Rhode Island"	11564	5747
"2012"	"South Carolina"	7298	4260
"2012"	"South Dakota"	7665	4511
"2012"	"Tennessee"	4791	5528
"2012"	"Texas"	3964	6575
"2012"	"Utah"	4766	5310
"2012"	"Vermont"	14426	3036
"2012"	"Virginia"	8059	4431
"2012"	"Washington"	4631	5059
"2012"	"West Virginia"	5521	5087
"2012"	"Wisconsin"	5145	5925
"2012"	"Wyoming"	2155	12804
"2013"	"Alabama"	9156	5168
"2013"	"Alaska"	6165	16148
